key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:spokesperson
camp-14,CM14-SAMP14,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# description - non-latin
camp-15,CM15-SAMP15,"Lorem ipsum dolor sit amet, consectetur adipiscing",โลเร็ม อิปซัม,2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-16,CM16-SAMP16,"Lorem ipsum dolor sit amet, consectetur adipiscing",لوريم إيبسوم,2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-17,CM17-SAMP17,"Lorem ipsum dolor sit amet, consectetur adipiscing",洛伦·伊普森,2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
# startMoment/endMoment - future moments (MIN: 2025/01/08 00:00 per project config)
camp-18,CM18-SAMP18,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2026/01/08 00:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-19,CM19-SAMP19,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:01,2026/01/08 00:01,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-20,CM20-SAMP20,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2200/12/31 23:58,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,spokesperson-01
# moreInfo - URL variations (optional)
camp-21,CM21-SAMP21,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,,TRUE,spokesperson-01
camp-22,CM22-SAMP22,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-23,CM23-SAMP23,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,https://a.org,TRUE,spokesperson-01
camp-24,CM24-SAMP24,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://a.b,TRUE,spokesperson-01
camp-25,CM25-SAMP25,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",TRUE,spokesperson-01
camp-26,CM26-SAMP26,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,https://www.lorem-ipsum.org,TRUE,spokesperson-01
camp-27,CM27-SAMP27,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://www.lorem-ipsum.org/dolor/sit.html,TRUE,spokesperson-01
camp-28,CM28-SAMP28,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://www.lorem-ipsum.org/dolor/sit.html#dolor,TRUE,spokesperson-01
camp-29,CM29-SAMP29,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://example.org?a=1&b=2,TRUE,spokesperson-01
camp-30,CM30-SAMP30,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://example.org/,TRUE,spokesperson-01
camp-31,CM31-SAMP31,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://example.org/a/b?a&b,TRUE,spokesperson-01
# draftMode variations
camp-32,CM32-SAMP32,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
camp-33,CM33-SAMP33,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing",2026/09/01 10:00,2027/09/01 10:00,http://lorem.com/ipsum,TRUE,spokesperson-01
