key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:sponsor
sponsorship-11,AB12_abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-12,AB12—abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-13,AB12–abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-14,AB12—abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-15,AB12 -abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-16,AB12- abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-17,AB12-abcd,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-18,AB12-abcdefghijk,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-19,AB12-abcd-,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-20,AB12-abc.de,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-21,AB12-abcde!,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-22,AB12-abc de,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-23,AB12-ábcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-24,AB12-abc\nde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-25,AB12-abc\nde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
#bad - name,"","","","","","","",""
sponsorship-26,SP25-ABCDE,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-27,SP26-ABCDE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
#bad - description,"","","","","","","",""
sponsorship-28,SP27-ABCDE,"Lorem ipsum dolor sit amet, consectetu","",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-29,SP28-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
#bad start-moment,"","","","","","","",""
sponsorship-30,SP29-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",2027/01/01 00:02,http://lorem.com/ipsum,false,sponsor-00
sponsorship-31,SP30-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1999/12/31 23:59,2000/01/01 00:01,http://lorem.com/ipsum,false,sponsor-00
#bad end-moment,"","","","","","","",""
sponsorship-32,SP31-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,"",http://lorem.com/ipsum,false,sponsor-00
sponsorship-33,SP32-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2201/01/01 00:00,http://lorem.com/ipsum,false,sponsor-00
#bad-end-start-moment-interval,"","","","","","","",""
sponsorship-34,SP33-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:00,2000/01/01 00:01,http://lorem.com/ipsum,true,sponsor-00
sponsorship-35,SP34-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/12/31 23:59,2000/01/01 00:00,http://lorem.com/ipsum,false,sponsor-00
sponsorship-36,SP35-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:02,2000/01/01 01:59,http://lorem.com/ipsum,false,sponsor-00
#bad-more-info,"","","","","","","",""
sponsorship-37,SP36-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://,false,sponsor-00
sponsorship-38,SP37-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,ftp://,false,sponsor-00
sponsorship-39,SP38-ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://a,false,sponsor-00
sponsorship-40,SP39—ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,ftp://a,false,sponsor-00
sponsorship-41,SP40—ABCDE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/x",false,sponsor-00
#bad-draft-mode,"","","","","","","",""
sponsorship-42,SP41—abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,"",sponsor-00
#bad-sponsor-key,"","","","","","","",""
sponsorship-43,SP43—abcde,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2000/01/01 00:02,http://lorem.com/ipsum,false,""
